filename,block,kx,ky,value,error
example.out,Bondx(q),0,0,27.6470289502019,0.157368886035319
example.out,Bondx(q),0,1,0.973214803367056,0.003692825368483589
example.out,Bondx(q),0,2,0.968753559469619,0.003234624392106712
example.out,Bondx(q),0,3,0.981032620881302,0.003201093249976804
example.out,Bondx(q),0,4,0.984985620217492,0.00323179138386275
example.out,Bondx(q),1,0,0.872156447259636,0.001201872046458901
example.out,Bondx(q),1,1,0.891284047865327,0.001459025276467056
example.out,Bondx(q),1,2,0.919446401893831,0.001568718778384473
example.out,Bondx(q),1,3,0.947330129284909,0.002761404889221127
example.out,Bondx(q),1,4,0.953538559268222,0.001832955375356933
example.out,Bondx(q),2,0,0.516019038052202,0.001285328966169276
example.out,Bondx(q),2,1,0.538889540042168,0.0009651341389957235
example.out,Bondx(q),2,2,0.598171271116092,0.001040027671496647
example.out,Bondx(q),2,3,0.651082125007175,0.001606030143739287
example.out,Bondx(q),2,4,0.671529234449799,0.0008840594113367685
example.out,Bondx(q),3,0,0.260863798366699,0.001189809088431912
example.out,Bondx(q),3,1,0.287163346027247,0.0008464858920292674
example.out,Bondx(q),3,2,0.353566622269181,0.001249426149012923
example.out,Bondx(q),3,3,0.421882375041139,0.001584570910227555
example.out,Bondx(q),3,4,0.449169308712326,0.001747201252439785
example.out,Bondx(q),4,0,0.133446727538331,0.0007100605437096989
example.out,Bondx(q),4,1,0.162843292640542,0.0007808403673211279
example.out,Bondx(q),4,2,0.23191436082107,0.001297769999688884
example.out,Bondx(q),4,3,0.302641102247938,0.001395733556086512
example.out,Bondx(q),4,4,75.4888731152166,0.08078408755761045
