filename,block,kx,ky,value,error
example.out,Bond(q),0,0,36.5789243099523,0.107762639982082
example.out,Bond(q),0,1,2.19642687938493,0.003375633255292218
example.out,Bond(q),0,2,1.88886368787716,0.003009526220389822
example.out,Bond(q),0,3,1.68494220431305,0.005175378112883574
example.out,Bond(q),0,4,1.57333970101155,0.004785675913470982
example.out,Bond(q),1,1,2.12453595791041,0.002005642432901683
example.out,Bond(q),1,2,1.84637901226745,0.0008487830653281279
example.out,Bond(q),1,3,1.65270012614222,0.002923407984249247
example.out,Bond(q),1,4,1.55584715525928,0.006951380805238531
example.out,Bond(q),2,2,1.59316111428798,0.002106626732784754
example.out,Bond(q),2,3,1.39954151787112,0.003025284521066275
example.out,Bond(q),2,4,1.32863306597599,0.004314116667100027
example.out,Bond(q),3,3,1.20275540967298,0.003726123300302316
example.out,Bond(q),3,4,1.15538957212208,0.006062508941873604
example.out,Bond(q),4,4,76.3946887200978,0.08311782127850768
