filename,block,kx,ky,value,error
example.out,Scdw(q),0,0,64.0121187756438,0.0003082517603660377
example.out,Scdw(q),0,1,0.112507480913566,0.0002488400075789258
example.out,Scdw(q),0,2,0.272134702893099,0.0002933657408908951
example.out,Scdw(q),0,3,0.425134161023637,0.0001738273552123263
example.out,Scdw(q),0,4,0.500466995906944,3.123613368578559e-05
example.out,Scdw(q),1,1,0.200078238274687,8.27060434394062e-05
example.out,Scdw(q),1,2,0.350887226549741,5.776034844200967e-05
example.out,Scdw(q),1,3,0.499114082054606,5.532000031144314e-06
example.out,Scdw(q),1,4,0.574464407030054,0.0001721159818258252
example.out,Scdw(q),2,2,0.497871308464347,5.970968599563523e-06
example.out,Scdw(q),2,3,0.64676841769754,5.747766627899658e-05
example.out,Scdw(q),2,4,0.727433497654219,0.0002816612790488428
example.out,Scdw(q),3,3,0.801012702526853,9.33244848232753e-05
example.out,Scdw(q),3,4,0.892331552552256,0.0002445760500842517
example.out,Scdw(q),4,4,1.00093075767123,0.0003498603670695269
